# Middle Chinese to Mandarin syllable mapping (work in progress)
# version: 20190512
# author: hhliow (github.com/hhliow)
# license: cc by-nc-sa 4.0
# The Middle Chinese syllables are transcribed using Baxter transcription.
# The Mandarin IPA transcription is intended to reflect the system of 洪武正韻譯訓. The following modern phonetic realization are not marked explicitly:
#  Merge of syllable codae -p -t -k to glottal stop [ʔ];
#  Omission of breathiness in breathy fricatives ʂʱ ʃʱ sʱ fʱ ɦ (resulting in merge with [ʂ] [ʃ] [s] [f] [h]~[x] respectively);
#  Palatalization and frictivization of /k/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ before /i/ or /y/;
#  Merge of -iaw and -iɛw.
kwangx_ghiunh_entry	middle_chinese_to_mandarin_mapping
580(蜂)	蜂(phjowng)->蜂(fuŋ)
581(𧒒)	𧒒(phjowng)->𧒒(fuŋ)
582(蘴)	蘴(phjowng)->蘴(fuŋ)
583(桻)	桻(phjowng)->桻(fuŋ)
584(㷭)	㷭(phjowng)->㷭(fuŋ)
585(烽)	烽(phjowng)->烽(fuŋ)
589(縱)	縱(tsjowng)->縱(tsyuŋ)
589(縱)	縦(tsjowng)->縦(tsyuŋ)
591(蹤)	蹤(tsjowng)->蹤(tsyuŋ)
591(蹤)	踨(tsjowng)->踨(tsyuŋ)
593(樅)	樅(tsjowng)->樅(tsyuŋ)
598(茸)	茸(nyowng)->茸(ʒyȕŋ)
602(襛)	襛(nyowng)->襛(ʒyȕŋ)
605(𥎂)	𥎂(nyowng)->𥎂(ʒyȕŋ)
608(蛩)	蛩(gjowng)->蛩(kʱyȕŋ)
609(邛)	邛(gjowng)->邛(kʱyȕŋ)
611(𦨰)	𦨰(gjowng)->𦨰(kʱyȕŋ)
612(筇)	筇(gjowng)->筇(kʱyȕŋ)
612(筇)	笻(gjowng)->笻(kʱyȕŋ)
614(𦭭)	𦭭(gjowng)->𦭭(kʱyȕŋ)
617(蛬)	蛬(gjowng)->蛬(kʱyȕŋ)
621(䅃)	𥞱(gjowng)->𥞱(kʱyȕŋ)
621(䅃)	䅃(gjowng)->䅃(kʱyȕŋ)
627(恭)	恭(kjowng)->恭(kyuŋ)
628(龔)	龔(kjowng)->龔(kyuŋ)
629(供)	供(kjowng)->供(kyuŋ)
631(䢼)	䢼(kjowng)->䢼(kyuŋ)
632(共)	共(kjowng)->共(kyuŋ)
638(淞)	淞(sjowng)->淞(syuŋ)
639(凇)	凇(sjowng)->凇(syuŋ)
640(鬆)	鬆(sjowng)->鬆(syuŋ)
641(倯)	倯(sjowng)->倯(syuŋ)
655(銎)	銎(khjowng)->銎(kʰyuŋ)
656(𥳎)	𥳎(khjowng)->𥳎(kʰyuŋ)
657(江)	江(kaewng)->江(kiɑŋ)
660(茳)	茳(kaewng)->茳(kiɑŋ)
665(玒)	玒(kaewng)->玒(kiɑŋ)
668(厖)	厖(maewng)->厖(mɑ̏ŋ)
668(厖)	龐(maewng)->龐(mɑ̏ŋ)
668(厖)	龎(maewng)->龎(mɑ̏ŋ)
668(厖)	厐(maewng)->厐(mɑ̏ŋ)
671(尨)	尨(maewng)->尨(mɑ̏ŋ)
671(尨)	龍(maewng)->龍(mɑ̏ŋ)
671(尨)	竜(maewng)->竜(mɑ̏ŋ)
673(哤)	哤(maewng)->哤(mɑ̏ŋ)
690(囪)	囱(tsrhaewng)->囱(ʈʂʰwɑŋ)
690(囪)	囪(tsrhaewng)->囪(ʈʂʰwɑŋ)
692(牎)	牕(tsrhaewng)->牕(ʈʂʰwɑŋ)
692(牎)	牎(tsrhaewng)->牎(ʈʂʰwɑŋ)
693(窓)	窻(tsrhaewng)->窻(ʈʂʰwɑŋ)
693(窓)	窓(tsrhaewng)->窓(ʈʂʰwɑŋ)
693(窓)	䆫(tsrhaewng)->䆫(ʈʂʰwɑŋ)
693(窓)	牕(tsrhaewng)->牕(ʈʂʰwɑŋ)
693(窓)	窗(tsrhaewng)->窗(ʈʂʰwɑŋ)
696(摐)	摐(tsrhaewng)->摐(ʈʂʰwɑŋ)
697(鏦)	鏦(tsrhaewng)->鏦(ʈʂʰwɑŋ)
699(邦)	邦(paewng)->邦(pɑŋ)
702(垹)	垹(paewng)->垹(pɑŋ)
705(降)	降(haewng)->降(ɦiɑ̏ŋ)
716(瀧)	瀧(laewng)->瀧(lɑ̏ŋ)
718(雙)	雙(sraewng)->雙(ʂwɑŋ)
719(艭)	艭(sraewng)->艭(ʂwɑŋ)
720(䉶)	䉶(sraewng)->䉶(ʂwɑŋ)
721(𢥠)	𢥠(sraewng)->𢥠(ʂwɑŋ)
723(瀧)	瀧(sraewng)->瀧(ʂwɑŋ)
725(龐)	龐(baewng)->龐(pʱɑ̏ŋ)
725(龐)	厐(baewng)->厐(pʱɑ̏ŋ)
725(龐)	龎(baewng)->龎(pʱɑ̏ŋ)
725(龐)	厖(baewng)->厖(pʱɑ̏ŋ)
726(逄)	逄(baewng)->逄(pʱɑ̏ŋ)
733(舡)	舡(xaewng)->舡(hiɑŋ)
735(腔)	腔(khaewng)->腔(kʰiɑŋ)
738(控)	控(khaewng)->控(kʰiɑŋ)
739(椌)	椌(khaewng)->椌(kʰiɑŋ)
740(悾)	悾(khaewng)->悾(kʰiɑŋ)
747(幢)	幢(draewng)->幢(ʈʂʱwɑ̏ŋ)
747(幢)	橦(draewng)->橦(ʈʂʱwɑ̏ŋ)
748(撞)	撞(draewng)->撞(ʈʂʱwɑ̏ŋ)
749(橦)	橦(draewng)->橦(ʈʂʱwɑ̏ŋ)
749(橦)	幢(draewng)->幢(ʈʂʱwɑ̏ŋ)
753(憃)	憃(trhaewng)->憃(ʈʂʰwɑŋ)
758(樁)	樁(traewng)->樁(ʈʂwɑŋ)
761(淙)	淙(dzraewng)->淙(ʈʂʱwɑ̏ŋ)
765(支)	支(tsye)->支(tʃɨ)
770(巵)	卮(tsye)->卮(tʃɨ)
770(巵)	巵(tsye)->巵(tʃɨ)
771(梔)	梔(tsye)->梔(tʃɨ)
772(枝)	枝(tsye)->枝(tʃɨ)
773(衹)	衹(tsye)->衹(tʃɨ)
776(肢)	肢(tsye)->肢(tʃɨ)
777(胑)	胑(tsye)->胑(tʃɨ)
779(禔)	禔(tsye)->禔(tʃɨ)
781(氏)	氏(tsye)->氏(tʃɨ)
784(鳷)	鳷(tsye)->鳷(tʃɨ)
