正韻卷番	韻目	IPA	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
4	爻	khiaw	○	敲	丘交切	361	敲	丘交切
4	爻	hiaw	○	哮	虚交切	362	哮	虛交切
4	爻	ʔiaw	○	坳	於交切	363	坳	於交切
4	爻	paw	○	包	班交切	364	包	班交切
4	爻	phaw	○	胞	披交切	365	胞	披交切
4	爻	pɦȁw	○	庖	蒲交切	366	庖	蒲交切
4	爻	mȁw	○	茅	謨交切	367	茅	謨交切
4	爻	mȁw		毛	莫襃切	367_no_siewx_ghiunh_separator	毛	NA
4	爻	ʂaw	○	梢	所交切	368	梢	所交切
4	爻	tʂhaw	○	䜈	楚交切	369	䜈	楚交切
4	爻	ʈʂɦȁw	○	巢	鋤交切	370	巢	鋤交切
4	爻	tʂaw	○	嘲	陟交切	371	嘲	陟交切
4	爻	nȁw	○	鐃	尼交切	372	鐃	尼交切
4	爻	ɦȁw	○	豪	胡刀切	373	豪	胡刀切
4	爻	haw	○	蒿	呼髙切	374	蒿	呼高切
4	爻	kaw	○	高	姑勞切	375	高	姑勞切
4	爻	ʔaw	○	鏖	於刀切	376	鏖	於刀切
4	爻	ŋȁw	○	敖	牛刀切	377	敖	牛刀切
4	爻	paw	○	襃	博毛切	378	襃	博毛切
4	爻	saw	○	騷	蘇曹切	379	騷	蘇曹切
4	爻	tshaw	○	操	倉刀切	380	操	倉刀切
4	爻	tsaw	○	遭	則刀切	381	遭	則刀切
4	爻	tsɦȁw	○	曹	財勞切	382	曹	財勞切
4	爻	taw	○	刀	都髙切	383	刀	都高切
4	爻	thaw	○	饕	他刀切	384	饕	他刀切
4	爻	tɦȁw	○	匋	徒刀切	385	匋	徒刀切
4	爻	lȁw	○	勞	郎刀切	386	勞	郎刀切
4	爻	nȁw	○	猱	奴刀切	387	猱	奴刀切
4	爻	khaw	○	尻	若高切	388	尻	苦高切
4	歌	kɔ	十四歌¶¶	歌	居何切	389	歌	居何切
4	歌	khɔ	○	珂	丘何切	390	珂	丘何切
4	歌	hɔ	○	訶	虎何切	391	訶	虎何切
4	歌	ʔɔ	○	阿	於何切	392	阿	於何切
4	歌	ɦɔ̏	○	何	寒歌切	393	何	寒歌切
4	歌	ŋɔ̏	○	莪	牛何切	394	莪	牛何切
4	歌	sɔ	○	娑	桑何切	395	娑	桑何切
4	歌	tshɔ	○	蹉	倉何切	396	蹉	倉何切
4	歌	tsɦɔ̏	○	醝	才何切	397	醝	才何切
4	歌	tɔ	○	多	得何切	398	多	得何切
4	歌	thɔ	○	佗	湯何切	399	佗	湯何切
4	歌	tɦɔ̏	○	駝	唐何切	400	駝	唐何切
4	歌	lɔ̏	○	羅	郎何切	401	羅	郎何切
4	歌	nɔ̏	○	那	奴何切	402	那	奴何切
4	歌	kwɔ	○	戈	古禾切	403	戈	古禾切
4	歌	khwɔ	○	科	苦禾切	404	科	苦禾切
4	歌	ʔwɔ	○	渦	烏禾切	405	渦	烏禾切
4	歌	ɦwɔ̏	○	和	戸戈切	406	和	戶戈切
4	歌	ŋwɔ̏	○	訛	吾禾切	407	訛	吾禾切
4	歌	pwɔ	○	波	補禾切	408	波	補禾切
4	歌	phwɔ	○	頗	普禾切	409	頗	普禾切
4	歌	pɦwɔ̏	○	媻	蒲禾切	410	媻	蒲禾切
4	歌	mwɔ̏	○	摩	眉波切	411	摩	眉波切
5	麻	mȁ	¶十五麻¶¶	麻	謨加切	412	麻	謨加切
5	麻	pha	○	葩	披巴切	413	葩	披巴切
5	麻	pa	○	巴	邦加切	414	巴	邦加切
5	麻	pɦȁ	○	杷	蒲巴切	415	杷	蒲巴切
5	麻	ʂa	○	沙	師加切	416	沙	師加切
5	麻	tʂha	○	叉	初加切	417	叉	初加切
5	麻	tʂa	○	樝	莊加切	418	樝	莊加切
5	麻	tʂwa	○	檛	職瓜切	419	檛	職瓜切
5	麻	ʈʂɦȁ	○	槎	鋤加切	420	槎	鋤加切
5	麻	nȁ	○	拏	女加切	421	拏	奴加切
5	麻	ɦiȁ	○	遐	何加切	422	遐	何加切
5	麻	hia	○	呀	虚加切	423	呀	虛加切
5	麻	khia	○	呿	丘加切	424	呿	丘加切
5	麻	kia	○	嘉	居牙切	425	嘉	居牙切
5	麻	kɦiȁ	○	伽	具牙切	426	伽	具牙切
