# version: 20210217						
# author: hhliow (github.com/hhliow)						
# license: cc by-nc-sa 4.0						
index	廣韻小韻	middle_chinese	Baxter_transcription	中州音(IPA)	中州音	推導國音
192	其	止開三平之羣	gi	kʱi˩	꜁ㄑㄧ	꜁ㄑㄧ
193	詩	止開三平之書	syi	ʃiɨ	ㄕ	ㄕ
194	而	止開三平之日	nyi	ɻ˩	꜁ㄦ	꜁ㄦ
195	欺	止開三平之溪	khi	kʰi	ㄑㄧ	ㄑㄧ
196	姬	止開三平之見	ki	ki	ㄐㄧ	ㄐㄧ
197	詞	止開三平之邪	zi	sʱɨ˩	꜁ㄙㄭ	꜁ㄙ
198	釐	止開三平之來	li	li˩	꜁ㄌㄧ	꜁ㄌㄧ
199	葘	止開三平之莊	tsri	ʈʂɨ	ㄓㄭ	ㄓ
200	僖	止開三平之曉	xi	hi	ㄒㄧ	ㄒㄧ
201	醫	止開三平之影	’i	ʔi	ㄧ	ㄧ
202	癡	止開三平之徹	trhi	tʃʰi	ㄔㄧ	ㄔ
203	治	止開三平之澄	dri	tʃʱi˩	꜁ㄔㄧ	꜁ㄔ
204	蚩	止開三平之昌	tsyhi	tʃʰiɨ	ㄔ	ㄔ
205	慈	止開三平之從	dzi	tsʱɨ˩	꜁ㄘㄭ	꜁ㄘ
206	兹	止開三平之精	tsi	tsɨ	ㄗㄭ	ㄗ
207	茬	止開三平之崇	dzri	ʈʂʱɨ˩	꜁ㄔㄭ	꜁ㄔ
208	漦	止開三平之俟	zri	ʂʱɨ˩	꜁ㄕㄭ	꜁ㄕ
209	抾	止開三平之溪	khi	kʰi	ㄑㄧ	ㄑㄧ
210	䀵	止開三平之書	syi	ʃiɨ	ㄕ	ㄕ
211	微	止合三平微明	mj+j	vi˩	꜁ㄪㄧ	꜁ㄪㄟ
212	揮	止合三平微曉	xjw+j	hui	ㄏㄨㄟ	ㄏㄨㄟ
213	幃	止合三平微云	hjw+j	ui˩	꜁ㄨㄟ	꜁ㄨㄟ
214	霏	止合三平微滂	phj+j	fi	ㄈㄧ	ㄈㄟ
215	猆	止合三平微幫	pj+j	fi	ㄈㄧ	ㄈㄟ
216	肥	止合三平微並	bj+j	fʱi˩	꜁ㄈㄧ	꜁ㄈㄟ
217	威	止合三平微影	’jw+j	ʔui	ㄨㄟ	ㄨㄟ
218	祈	止開三平微羣	gj+j	kʱi˩	꜁ㄑㄧ	꜁ㄑㄧ
219	機	止開三平微見	kj+j	ki	ㄐㄧ	ㄐㄧ
220	希	止開三平微曉	xj+j	hi	ㄒㄧ	ㄒㄧ
221	依	止開三平微影	’j+j	ʔi	ㄧ	ㄧ
222	沂	止開三平微疑	ngj+j	(ŋ)i˩	꜁(ㄫ)ㄧ	꜁(ㄫ)ㄧ
223	巍	止合三平微疑	ngjw+j	ŋui˩	꜁ㄫㄨㄟ	꜁ㄨㄟ
224	歸	止合三平微見	kjw+j	kui	ㄍㄨㄟ	ㄍㄨㄟ
