IPA	正韻卷番	正韻小韻分隔	正韻字頭	正韻反切	ytenx小韻番	正韻牋字頭(ytenx)	正韻牋反切(ytenx)
kɦiȁ	5	○	伽	具牙切	426	伽	具牙切
ʔia	5	○	鴉	於加切	427	鴉	於加切
(ŋ)jiȁ	5	○	牙	牛加切	428	牙	牛加切
ɦwȁ	5	○	華	胡瓜切	429	華	胡瓜切
hwa	5	○	花	呼瓜切	430	花	呼瓜切
khwa	5	○	誇	枯瓜切	431	誇	枯瓜切
kwa	5	○	瓜	古華切	432	瓜	古華切
ʔwa	5	○	窊	烏瓜切	433	窊	烏瓜切
tʃiɛ	5	十六遮¶¶	遮	之奢切	434	遮	之奢切
ʃiɛ	5	○	奢	詩遮切	435	奢	詩遮切
siɛ	5	○	些	思遮切	436	些	思遮切
tʃhiɛ	5	○	車	昌遮切	437	車	昌遮切
tsiɛ	5	○	嗟	咨邪切	438	嗟	咨邪切
sziɛ̏	5	○	邪	徐嗟切	439	邪	徐嗟切
ʃʒiɛ̏	5	○	蛇	石遮切	440	蛇	石遮切
jiɛ̏	5	○	耶	于遮切	441	耶	于遮切
kɦiɛ̏	5	○	茄	具遮切	442	茄	具遮切
tiɛ	5	○	爹	丁邪切	443	爹	丁邪切
hyɛ	5	○	靴	毁遮切	444	靴	毀遮切
kɦyɛ̏	5	○	瘸	巨靴切	445	瘸	巨靴切
jiɑ̏ŋ	5	十七陽¶¶	陽	移章切	446	陽	移章切
fɑŋ	5	○	芳	敷房切	447	芳	敷房切
fvɑ̏ŋ	5	○	房	符方切	448	房	符方切
vɑ̏ŋ	5	○	亡	無方切	449	亡	無方切
siɑŋ	5	○	襄	息良切	450	襄	息良切
tshiɑŋ	5	○	鏘	千羊切	451	鏘	千羊切
tsiɑŋ	5	○	將	資良切	452	將	資良切
sziɑ̏ŋ	5	○	詳	徐羊切	453	詳	徐羊切
tsɦiɑ̏ŋ	5	○	牆	慈良切	454	牆	慈良切
ʃiɑŋ	5	○	商	尸羊切	455	商	尸羊切
tʃhiɑŋ	5	○	昌	齒良切	456	昌	齒良切
tʃiɑŋ	5	○	章	止良切	457	章	止良切
ʃʒiɑ̏ŋ	5	○	常	陳羊切	458	常	陳羊切
ʒiɑ̏ŋ	5	○	穰	如羊切	459	穰	如羊切
niɑ̏ŋ	5		娘	友良切	460	娘	女良切
ʂwɑŋ	5	○	霜	師莊切	461	霜	師莊切
